,from,to,type,event id,flags,source,time,operation,protection,advice,pid
68,d9f90567c23c834d6fea158b7531a40b,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1385,,syscall,1702119793.648,mmap (write),3.0,,
69,9732ab0fd26b5caf2baa16f103268dca,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1386,,syscall,1702119793.648,mmap (write),3.0,,
70,711e85fad0a8d268142f6e203dae89f0,9b3a95bc82b0239cf9878d0ca894dc31,Used,1387,O_RDONLY,syscall,1702119793.648,open,,,
71,711e85fad0a8d268142f6e203dae89f0,9b3a95bc82b0239cf9878d0ca894dc31,Used,1388,,syscall,1702119793.648,close,,,
72,d47ba7ec5908907bc9a56c55b3abef28,711e85fad0a8d268142f6e203dae89f0,WasTriggeredBy,1389,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.648,clone,,,
73,c5718fec0dd286982a842b3177c818db,0ef366a12c22d68dcc35e410ab69719e,WasTriggeredBy,1390,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.648,clone,,,
74,be892937315bea0644510e695d37ac30,b6acb3e5c8618efc89e85cd9e2ee9823,WasGeneratedBy,1391,,syscall,1702119793.648,connect,,,
75,50187c4b8a4196de51368c0d4a475457,5a7a49b0a1c2096d4e6e896d35f9194d,Used,1392,,syscall,1702119793.648,accept,,,
76,0ef366a12c22d68dcc35e410ab69719e,0ef366a12c22d68dcc35e410ab69719e,WasTriggeredBy,1395,,syscall,1702119793.74,exit,,,
77,80a3b6046c1aa2dda29b76dc32d1e4fa,4cae72d0437800d5a4a478a0d8213f90,WasGeneratedBy,1396,,syscall,1702119793.74,connect,,,
78,50187c4b8a4196de51368c0d4a475457,cf367aec66d57a49adcb74b784437e1f,Used,1397,,syscall,1702119793.74,accept,,,
